size; duration; mean; reps
517000;0.506794;5.06E-4;1000
518000;0.222441;2.22E-4;1000
519000;0.229076;2.29E-4;1000
520000;0.394821;3.94E-4;1000
521000;0.21779;2.17E-4;1000
522000;0.218095;2.18E-4;1000
523000;0.22995;2.29E-4;1000
524000;0.249926;2.49E-4;1000
525000;0.214541;2.14E-4;1000
526000;0.394385;3.94E-4;1000
527000;0.234212;2.34E-4;1000
528000;0.227962;2.27E-4;1000
529000;0.192615;1.92E-4;1000
530000;0.201177;2.01E-4;1000
531000;0.219981;2.19E-4;1000
532000;0.48649;4.86E-4;1000
533000;0.294405;2.94E-4;1000
534000;0.375982;3.75E-4;1000
535000;0.215656;2.15E-4;1000
536000;0.330783;3.3E-4;1000
537000;0.223753;2.23E-4;1000
538000;0.215109;2.15E-4;1000
539000;0.765918;7.65E-4;1000
540000;0.324154;3.24E-4;1000
541000;0.596955;5.96E-4;1000
542000;0.321084;3.21E-4;1000
543000;0.433395;4.33E-4;1000
544000;0.330008;3.3E-4;1000
545000;0.242933;2.42E-4;1000
546000;0.255881;2.55E-4;1000
547000;0.226751;2.26E-4;1000
548000;0.198392;1.98E-4;1000
549000;0.212871;2.12E-4;1000
550000;0.28153;2.81E-4;1000
551000;0.21701;2.17E-4;1000
552000;0.387583;3.87E-4;1000
553000;0.582631;5.82E-4;1000
554000;0.216964;2.16E-4;1000
555000;0.22393;2.23E-4;1000
556000;0.212433;2.12E-4;1000
557000;0.224753;2.24E-4;1000
558000;0.220783;2.2E-4;1000
559000;0.259813;2.59E-4;1000
560000;0.228298;2.28E-4;1000
561000;0.220504;2.2E-4;1000
562000;0.239051;2.39E-4;1000
563000;0.322488;3.22E-4;1000
564000;0.277511;2.77E-4;1000
565000;0.21696;2.16E-4;1000
566000;0.263323;2.63E-4;1000
567000;0.213545;2.13E-4;1000
568000;0.230126;2.3E-4;1000
569000;0.245866;2.45E-4;1000
570000;0.297187;2.97E-4;1000
571000;0.293343;2.93E-4;1000
572000;0.426248;4.26E-4;1000
573000;0.224674;2.24E-4;1000
574000;0.396242;3.96E-4;1000
575000;0.388187;3.88E-4;1000
576000;0.216998;2.16E-4;1000
577000;0.229553;2.29E-4;1000
578000;0.283698;2.83E-4;1000
579000;0.244742;2.44E-4;1000
580000;0.335333;3.35E-4;1000
581000;0.34632;3.46E-4;1000
582000;0.390576;3.9E-4;1000
583000;0.62249;6.22E-4;1000
584000;1.517816;0.001517;1000
585000;0.31587;3.15E-4;1000
586000;0.37261;3.72E-4;1000
587000;0.37226;3.72E-4;1000
588000;0.426016;4.26E-4;1000
589000;0.383286;3.83E-4;1000
590000;0.361378;3.61E-4;1000
591000;0.442359;4.42E-4;1000
592000;0.387014;3.87E-4;1000
593000;0.211331;2.11E-4;1000
594000;0.249262;2.49E-4;1000
595000;0.40089;4.0E-4;1000
596000;0.246318;2.46E-4;1000
597000;0.411872;4.11E-4;1000
598000;0.461927;4.61E-4;1000
599000;0.217877;2.17E-4;1000
600000;0.212305;2.12E-4;1000
601000;0.226136;2.26E-4;1000
602000;0.221457;2.21E-4;1000
603000;0.222464;2.22E-4;1000
604000;0.201608;2.01E-4;1000
605000;0.211235;2.11E-4;1000
606000;0.213716;2.13E-4;1000
607000;0.222708;2.22E-4;1000
608000;0.230734;2.3E-4;1000
609000;0.21579;2.15E-4;1000
610000;0.201166;2.01E-4;1000
611000;0.247591;2.47E-4;1000
612000;0.215585;2.15E-4;1000
613000;0.221612;2.21E-4;1000
614000;0.243656;2.43E-4;1000
615000;0.279326;2.79E-4;1000
616000;0.22764;2.27E-4;1000
617000;0.248637;2.48E-4;1000
618000;0.21814;2.18E-4;1000
619000;0.3707;3.7E-4;1000
620000;0.4182;4.18E-4;1000
621000;0.273651;2.73E-4;1000
622000;0.220998;2.2E-4;1000
623000;0.229545;2.29E-4;1000
624000;0.239871;2.39E-4;1000
625000;0.22434;2.24E-4;1000
626000;0.372907;3.72E-4;1000
627000;0.329668;3.29E-4;1000
628000;0.402294;4.02E-4;1000
629000;0.23537;2.35E-4;1000
630000;0.263914;2.63E-4;1000
631000;0.225119;2.25E-4;1000
632000;0.238173;2.38E-4;1000
633000;0.482444;4.82E-4;1000
634000;0.210934;2.1E-4;1000
635000;0.215115;2.15E-4;1000
636000;0.227887;2.27E-4;1000
637000;0.204524;2.04E-4;1000
638000;0.231203;2.31E-4;1000
639000;0.22825;2.28E-4;1000
640000;0.408682;4.08E-4;1000
641000;0.297508;2.97E-4;1000
642000;0.216386;2.16E-4;1000
643000;0.202972;2.02E-4;1000
644000;0.348888;3.48E-4;1000
645000;0.222293;2.22E-4;1000
646000;0.216751;2.16E-4;1000
647000;0.217215;2.17E-4;1000
648000;0.220534;2.2E-4;1000
649000;0.224929;2.24E-4;1000
650000;0.253703;2.53E-4;1000
651000;0.443049;4.43E-4;1000
652000;0.229596;2.29E-4;1000
653000;0.205782;2.05E-4;1000
654000;0.224361;2.24E-4;1000
655000;0.209185;2.09E-4;1000
656000;0.215794;2.15E-4;1000
657000;0.22583;2.25E-4;1000
658000;0.222556;2.22E-4;1000
659000;0.215155;2.15E-4;1000
660000;0.449275;4.49E-4;1000
661000;0.202754;2.02E-4;1000
662000;0.231714;2.31E-4;1000
663000;0.243289;2.43E-4;1000
664000;0.54404;5.44E-4;1000
665000;0.204942;2.04E-4;1000
666000;0.200748;2.0E-4;1000
667000;0.207162;2.07E-4;1000
668000;0.274002;2.74E-4;1000
669000;0.211233;2.11E-4;1000
670000;0.391369;3.91E-4;1000
671000;0.229583;2.29E-4;1000
672000;0.205959;2.05E-4;1000
673000;0.199646;1.99E-4;1000
674000;0.260591;2.6E-4;1000
675000;0.229964;2.29E-4;1000
676000;0.232113;2.32E-4;1000
677000;0.249894;2.49E-4;1000
678000;0.370052;3.7E-4;1000
679000;0.244446;2.44E-4;1000
680000;0.233599;2.33E-4;1000
681000;0.229543;2.29E-4;1000
682000;0.236492;2.36E-4;1000
683000;0.188875;1.88E-4;1000
684000;0.233846;2.33E-4;1000
685000;0.300488;3.0E-4;1000
686000;0.257628;2.57E-4;1000
687000;0.242898;2.42E-4;1000
688000;0.219499;2.19E-4;1000
689000;0.26466;2.64E-4;1000
690000;0.204281;2.04E-4;1000
691000;0.292662;2.92E-4;1000
692000;0.213106;2.13E-4;1000
693000;0.229676;2.29E-4;1000
694000;0.209489;2.09E-4;1000
695000;0.221071;2.21E-4;1000
696000;0.220585;2.2E-4;1000
697000;0.243744;2.43E-4;1000
698000;0.225879;2.25E-4;1000
699000;0.390663;3.9E-4;1000
700000;0.221262;2.21E-4;1000
701000;0.220366;2.2E-4;1000
702000;0.250751;2.5E-4;1000
703000;0.228609;2.28E-4;1000
704000;0.221632;2.21E-4;1000
705000;0.285367;2.85E-4;1000
706000;0.232836;2.32E-4;1000
707000;0.218369;2.18E-4;1000
708000;0.253797;2.53E-4;1000
709000;0.235871;2.35E-4;1000
710000;0.240956;2.4E-4;1000
711000;0.237999;2.37E-4;1000
712000;0.224783;2.24E-4;1000
713000;0.22443;2.24E-4;1000
714000;0.245;2.45E-4;1000
715000;0.251155;2.51E-4;1000
716000;0.201958;2.01E-4;1000
717000;0.246984;2.46E-4;1000
718000;0.425894;4.25E-4;1000
719000;0.241705;2.41E-4;1000
720000;0.225067;2.25E-4;1000
721000;0.254322;2.54E-4;1000
722000;0.21092;2.1E-4;1000
723000;0.219585;2.19E-4;1000
724000;0.234508;2.34E-4;1000
725000;0.28335;2.83E-4;1000
726000;0.215521;2.15E-4;1000
727000;0.217787;2.17E-4;1000
728000;0.242209;2.42E-4;1000
729000;0.224936;2.24E-4;1000
730000;0.217641;2.17E-4;1000
731000;0.224582;2.24E-4;1000
732000;0.267792;2.67E-4;1000
733000;0.233862;2.33E-4;1000
734000;0.227825;2.27E-4;1000
735000;0.396052;3.96E-4;1000
736000;0.378429;3.78E-4;1000
737000;0.219882;2.19E-4;1000
738000;0.212543;2.12E-4;1000
739000;0.231752;2.31E-4;1000
740000;0.378434;3.78E-4;1000
741000;0.218142;2.18E-4;1000
742000;0.251487;2.51E-4;1000
743000;0.218842;2.18E-4;1000
744000;0.213351;2.13E-4;1000
745000;0.311541;3.11E-4;1000
746000;0.343753;3.43E-4;1000
747000;0.344955;3.44E-4;1000
748000;0.335116;3.35E-4;1000
749000;0.559177;5.59E-4;1000
750000;0.510078;5.1E-4;1000
751000;0.352633;3.52E-4;1000
752000;0.294967;2.94E-4;1000
753000;0.226491;2.26E-4;1000
754000;0.394808;3.94E-4;1000
755000;0.211937;2.11E-4;1000
756000;0.191057;1.91E-4;1000
757000;0.203335;2.03E-4;1000
758000;0.201495;2.01E-4;1000
759000;0.22438;2.24E-4;1000
760000;0.22357;2.23E-4;1000
761000;0.198319;1.98E-4;1000
762000;0.222004;2.22E-4;1000
763000;0.258501;2.58E-4;1000
764000;0.236375;2.36E-4;1000
765000;0.526656;5.26E-4;1000
766000;0.347207;3.47E-4;1000
767000;0.345247;3.45E-4;1000
768000;0.391506;3.91E-4;1000
769000;0.224934;2.24E-4;1000
770000;0.2448;2.44E-4;1000
771000;0.32693;3.26E-4;1000
772000;0.22445;2.24E-4;1000
773000;0.377905;3.77E-4;1000
774000;0.226695;2.26E-4;1000
775000;0.349278;3.49E-4;1000
776000;0.211734;2.11E-4;1000
777000;0.230024;2.3E-4;1000
778000;0.229499;2.29E-4;1000
779000;0.241548;2.41E-4;1000
780000;0.25313;2.53E-4;1000
781000;0.327655;3.27E-4;1000
782000;0.449349;4.49E-4;1000
783000;0.334792;3.34E-4;1000
784000;0.340679;3.4E-4;1000
785000;0.435338;4.35E-4;1000
786000;0.398185;3.98E-4;1000
787000;0.390472;3.9E-4;1000
788000;0.375986;3.75E-4;1000
789000;0.302716;3.02E-4;1000
790000;0.596801;5.96E-4;1000
791000;0.411583;4.11E-4;1000
792000;0.36975;3.69E-4;1000
793000;0.279416;2.79E-4;1000
794000;0.374625;3.74E-4;1000
795000;0.500648;5.0E-4;1000
796000;0.28018;2.8E-4;1000
797000;0.259679;2.59E-4;1000
798000;0.241601;2.41E-4;1000
799000;0.244444;2.44E-4;1000
800000;0.447807;4.47E-4;1000
801000;0.224888;2.24E-4;1000
802000;0.211533;2.11E-4;1000
803000;0.227066;2.27E-4;1000
804000;0.498373;4.98E-4;1000
805000;0.231302;2.31E-4;1000
806000;0.307864;3.07E-4;1000
807000;0.232914;2.32E-4;1000
808000;0.221292;2.21E-4;1000
809000;0.247108;2.47E-4;1000
810000;0.251907;2.51E-4;1000
811000;0.223547;2.23E-4;1000
812000;0.25171;2.51E-4;1000
813000;0.375512;3.75E-4;1000
814000;0.533874;5.33E-4;1000
815000;0.359749;3.59E-4;1000
816000;0.749934;7.49E-4;1000
817000;0.250748;2.5E-4;1000
818000;0.228861;2.28E-4;1000
819000;0.212621;2.12E-4;1000
820000;0.230926;2.3E-4;1000
821000;3.309268;0.003309;1000
822000;0.226892;2.26E-4;1000
823000;0.228831;2.28E-4;1000
824000;0.542409;5.42E-4;1000
825000;0.215742;2.15E-4;1000
826000;0.249952;2.49E-4;1000
827000;0.23009;2.3E-4;1000
828000;0.330714;3.3E-4;1000
829000;0.227801;2.27E-4;1000
830000;0.277182;2.77E-4;1000
831000;0.224202;2.24E-4;1000
832000;0.37014;3.7E-4;1000
833000;0.235003;2.35E-4;1000
834000;0.204397;2.04E-4;1000
835000;0.201794;2.01E-4;1000
836000;0.20409;2.04E-4;1000
837000;0.217299;2.17E-4;1000
838000;0.425833;4.25E-4;1000
839000;0.215396;2.15E-4;1000
840000;0.264668;2.64E-4;1000
841000;0.220263;2.2E-4;1000
842000;0.228061;2.28E-4;1000
843000;0.23927;2.39E-4;1000
844000;0.229644;2.29E-4;1000
845000;0.209004;2.09E-4;1000
846000;0.229104;2.29E-4;1000
847000;0.217469;2.17E-4;1000
848000;0.217034;2.17E-4;1000
849000;0.229837;2.29E-4;1000
850000;0.211238;2.11E-4;1000
851000;0.215676;2.15E-4;1000
852000;0.224632;2.24E-4;1000
853000;0.256264;2.56E-4;1000
854000;0.332835;3.32E-4;1000
855000;0.441377;4.41E-4;1000
856000;0.4374;4.37E-4;1000
857000;0.690218;6.9E-4;1000
858000;0.625673;6.25E-4;1000
859000;0.510778;5.1E-4;1000
860000;0.334309;3.34E-4;1000
861000;0.568372;5.68E-4;1000
862000;0.390613;3.9E-4;1000
863000;0.364533;3.64E-4;1000
864000;0.717169;7.17E-4;1000
865000;0.239177;2.39E-4;1000
